1787795916.531     81 10.0.1.4 TCP_TUNNEL/200 10011 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787795946.764    102 10.0.1.4 TCP_TUNNEL/200 10011 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787795979.346     86 10.0.1.4 TCP_TUNNEL/200 10011 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787795999.157    134 10.0.1.4 TCP_TUNNEL/200 8761 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787795999.898    375 10.0.1.4 TCP_TUNNEL/200 8761 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787796002.494    175 10.0.1.4 TCP_TUNNEL/200 8761 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787796004.211   2127 10.0.1.4 TCP_TUNNEL/200 8761 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787796004.866   1684 10.0.1.4 TCP_TUNNEL/200 8761 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787796007.155   1714 10.0.1.4 TCP_TUNNEL/200 8761 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787796007.175    102 10.0.1.4 TCP_TUNNEL/200 10028 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787796008.695   1186 10.0.1.4 TCP_TUNNEL/200 8761 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787796016.020   1593 10.0.1.4 TCP_TUNNEL/200 8761 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787796018.612   1143 10.0.1.4 TCP_TUNNEL/200 8761 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787796018.641   1780 10.0.1.4 TCP_TUNNEL/200 8761 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787796019.745 239788 10.0.1.4 TCP_TUNNEL/200 8561 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787796022.650    719 10.0.1.4 TCP_TUNNEL/200 8761 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787796025.671    739 10.0.1.4 TCP_TUNNEL/200 8761 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787796026.208    107 10.0.1.4 TCP_TUNNEL/200 8761 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787796029.637    908 10.0.1.4 TCP_TUNNEL/200 8761 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787796041.887     77 10.0.1.4 TCP_TUNNEL/200 10028 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787796068.359 120129 10.0.1.4 TCP_TUNNEL/200 11644 CONNECT g7-prod-ty-vaz00001-sb.servicebus.windows.net:443 - HIER_DIRECT/48.210.2.5 -
1787796074.723    108 10.0.1.4 TCP_TUNNEL/200 10028 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787796098.812 100163 10.0.1.4 TCP_TUNNEL/200 11056 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787796098.889 100131 10.0.1.4 TCP_TUNNEL/200 11056 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787796102.021 100158 10.0.1.4 TCP_TUNNEL/200 11056 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787796102.458 127767 10.0.1.4 TCP_TUNNEL/200 16763 CONNECT g13-prod-ty-vaz00001-sb.servicebus.windows.net:443 - HIER_DIRECT/48.210.2.11 -
1787796102.669     91 10.0.1.4 TCP_TUNNEL/200 10028 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787796105.368 103359 10.0.1.4 TCP_TUNNEL/200 9630 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787796107.127 100182 10.0.1.4 TCP_TUNNEL/200 11056 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787796107.960 100613 10.0.1.4 TCP_TUNNEL/200 8809 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787796116.205 109078 10.0.1.4 TCP_TUNNEL/200 9630 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787796116.462 117560 10.0.1.4 TCP_TUNNEL/200 10935 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787796119.668 114620 10.0.1.4 TCP_TUNNEL/200 12044 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787796122.177 102681 10.0.1.4 TCP_TUNNEL/200 8809 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787796124.721 125920 10.0.1.4 TCP_TUNNEL/200 10935 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787796125.799 121219 10.0.1.4 TCP_TUNNEL/200 9293 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
